ctxkey,pattern,histlen,pc,bw,bctx
14007,399307797,21,21811448,2,21774497
7969,271337486,14,21774654,2,25939921
3479,191514630,6,27260939,2,21904253
5422,459392006,6,21900221,2,18494598
4402,374188046,14,21907598,2,21774456
9018,534804489,9,21904093,2,18997066
5271,113983494,6,21808710,2,18621513
9238,112435206,6,19247861,2,19250700
9396,57179142,6,20983858,2,20767664
14007,238486552,24,21811448,2,21774497
6143,95785997,13,18902865,2,19004535
404,433769478,6,19247256,2,27677318
8470,228253728,32,21962951,2,21962994
15752,205003808,32,22053224,64,22053212
10803,417899529,9,22214281,2,25939921
9238,159033353,9,19246543,2,19250700
8979,173021212,28,22060762,2,22060785
14934,530060306,18,22105051,2,21996528
2408,64556038,6,21774415,2,139952163856040
14230,260613132,12,22208161,2,18668476
4395,227542025,9,22210371,2,21774433
4395,126515212,12,22210371,2,21774433
2408,319746072,24,21774654,2,139952163856040
12682,211950598,6,28458345,2,21907576
10315,403395594,10,21774415,2,25940923
8010,175861770,10,18465227,2,22099320
245,183700489,9,18995289,2,18997565
15675,178143264,32,21965132,64,22280848
5611,404062234,26,18870307,2,19003857
6143,476351506,18,18902805,2,19004535
245,296409094,6,18995343,2,18997565
7092,278543374,14,18478590,2,28472678
5611,520227858,18,18870307,2,19003857
8979,400478236,28,22062888,2,22060785
3188,438402066,18,25956161,2,26136986
16302,526541848,24,18624382,2,18628236
7377,285829133,13,18478888,2,18478953
10210,442149908,20,21850628,2,61699872
9238,91809798,6,19246381,2,19250700
8632,292174864,16,21916293,2,18464784
12682,11597830,6,28458464,2,21907576
15244,286936073,9,21774396,2,18437980
5535,224954378,10,21648088,2,21903199
2434,483100681,9,27917175,2,21903594
7706,469913624,24,21774461,2,22279620
7275,480420892,28,21965132,2,22079819
10837,39870470,6,21909347,2,21819867
1926,517788704,32,25940165,2,22248412
91,125915142,6,21891684,2,25940923
8979,181535776,32,22062888,2,22060785
10917,8924169,9,22281271,2,19070671
8017,208672796,28,21774396,64,21912008
648,473454598,6,21815351,2,25940180
10803,215905296,16,21903104,2,25939921
7683,135985171,19,21903104,2,21902733
10233,458307586,2,21912687,2,139952163441305
10392,229234716,28,21852611,2,21850872
7714,231412746,10,18467511,2,22264208
7714,303243270,6,22264186,2,22264208
9079,49914906,26,21968831,2,25939921
5155,243392528,16,21911650,2,18664613
10912,109644828,28,28461349,2,21910956
13902,230239241,9,22011362,2,25940180
2303,196253710,14,26000851,2,26035295
3569,505134089,9,22264186,2,21904139
7540,53145617,17,22253819,2,21831002
48,311486470,6,21935076,2,21774366
404,146955270,6,19247560,2,27677318
1926,280098842,26,25940165,2,22248412
7714,84047878,6,22264226,2,22264208
10912,527008774,6,28461349,2,21910956
10315,123820042,10,21774461,2,25940923
3141,369475598,14,21816798,2,18519001
8470,127085589,21,21962951,2,21962994
9194,72861717,21,22101447,2,21946586
7187,134704160,32,22109757,64,22053243
9079,499641361,17,21972182,2,25939921
15279,491783181,13,22208551,2,28455553
3141,270028806,6,21816798,2,18519001
5613,135532562,18,21648088,2,21903149
13853,481213462,22,25946332,2,22141237
12753,497575954,18,21935045,2,21935025
477,259596305,17,18437503,2,18437359
3479,311005190,6,26234700,2,21904253
5744,131147782,6,27916361,2,25940180
7149,131333130,10,18413417,2,18412869
8390,60485638,6,18519008,2,18519014
9238,434877457,17,19246492,2,19250700
9079,197226513,17,21972037,2,25939921
7104,355015708,28,22160809,64,21651760
10912,182988826,26,28461349,2,21910956
15579,278586370,2,19247242,2,21774433
4390,6468614,6,21936190,2,61699872
389,97713180,28,21774461,2,22279709
4548,435751951,15,18902681,2,19003980
5611,53020690,18,18870307,2,19003857
14199,528176164,36,22062788,2,22064429
14330,150239264,32,22226871,2,22019146
11684,355826716,28,22247481,2,25940180
14199,377290776,24,22062888,2,22064429
4390,471379974,6,27694915,2,61699872
4857,347352096,32,21954831,2,21958231
15752,236477472,32,22053224,64,22053212
7104,240072730,26,22160756,64,21651760
8816,294867982,14,21814253,2,21988312
7714,181033993,9,22264186,2,22264208
2434,80773134,14,21903460,2,21903594
2434,349154324,20,21903490,2,21903594
4395,217733132,12,22210499,2,21774433
4395,23299087,15,22210499,2,21774433
14149,487947290,26,21965822,2,22079719
6459,485147672,24,26228747,2,19245373
8017,118936608,32,21774396,64,21912008
5611,535362579,19,18870307,2,19003857
9079,184799241,9,21972182,2,25939921
8979,249098257,17,22060762,2,22060785
3538,134460425,9,21774438,2,22225294
9238,485725190,6,19246587,2,19250700
2062,325676043,11,22098834,2,21965444
8979,525195278,14,22062888,2,22060785
12818,46957587,19,22001133,2,21987200
14149,175176717,13,21965822,2,22079719
7969,319413258,10,21774396,2,25939921
9317,141347856,16,21850628,2,21850209
5611,316850202,26,18870307,2,19003857
10803,23413773,13,22214281,2,25939921
1539,131864608,32,21774396,64,21909467
389,252273688,24,21774461,2,22279709
10848,137496582,6,139952163417554,2,21910672
7275,389134350,14,21965132,2,22079819
14199,45153296,16,22062788,2,22064429
10803,447784978,18,22214273,2,25939921
997,49520654,14,18712766,2,21926535
14199,425152525,13,22062788,2,22064429
15995,430407693,13,22079646,2,21902733
13863,86485012,20,21796276,2,22195711
5193,326003728,16,22083460,2,19034823
14230,477564944,16,22208161,2,18668476
10803,19923988,20,21903104,2,25939921
10803,471048202,10,22214273,2,25939921
15995,257452038,6,22079646,2,21902733
7970,123155480,24,21998032,2,22208646
7030,159456278,22,21774415,64,18870342
7706,516118552,24,21774438,2,22279620
1044,476200962,2,25999772,2,26000396
8269,142318602,10,21904394,2,18518893
10720,415347730,18,22018037,2,22016460
5648,495457308,28,22040233,2,22040048
7706,386948117,21,21774438,2,22279620
7187,489504,32,22109757,64,22053243
7594,8409102,14,18697731,2,18699442
295,62232600,24,22062888,2,22064301
6143,270537743,15,18902775,2,19004535
12531,143373322,10,22074395,2,22073903
5864,73227296,32,28345118,64,28345144
10496,90389510,6,21926580,2,18712744
7706,433639448,24,21774438,2,22279620
9715,28009478,6,21938119,2,19030865
8977,342540294,6,21870005,2,18748029
11835,222352390,6,18418808,2,18748103
8135,159506438,6,26508901,2,18727955
85,311009290,10,18676810,2,18676427
7150,159176724,20,21944494,2,61699856
10686,448996358,6,26216923,2,26216800
7706,152145948,28,21774461,2,22279620
11142,465672201,9,21774461,2,18490312
13658,474667014,6,21947186,2,25940180
5725,218270726,6,21925312,2,21925979
6304,280579081,9,21924993,2,21962570
5267,448886798,14,22034972,2,18490201
2217,397602822,6,21902692,2,21902821
8467,261134346,10,22054039,2,22263833
12504,340458505,9,27514973,2,61699872
8997,174241812,20,21923127,2,18748837
2960,158912526,14,18533635,2,18495504
6445,51942409,9,22034257,2,22033593
8066,286981126,6,22034198,2,22034122
14493,202029062,6,21947889,2,18622599
982,272668678,6,21870005,2,21946214
11425,71472138,10,18418974,2,18418953
