ctxkey,pattern,histlen,pc,bw,bctx
15361,317272070,6,18446744071585855408,2,18446744071585554577
12134,297345030,6,18446744071585589362,2,18446744071585589314
12156,508039174,6,18446744071580403571,2,18446744071580403432
12493,228216838,6,18446744071585244714,2,18446744071585240305
14339,90755078,6,18446744071585238662,2,18446744071585206753
12493,93983750,6,18446744071585238417,2,18446744071585240305
14558,7895046,6,18446744071585940609,2,18446744071585941110
11448,516591622,6,18446744071586754289,2,18446744071585930226
15707,240650,10,18446744071585615008,2,18446744071585606537
9358,200816649,9,18446744071585220594,2,18446744071585220412
12523,175151110,6,18446744071585234057,2,18446744071585234261
12634,410102790,6,18446744071586241909,2,18446744071586754388
6301,527114253,13,18446744071585235426,2,18446744071585220833
3320,104869897,9,18446744071585589832,2,18446744071585581384
1787,221253641,9,18446744071579994588,2,18446744071585941435
11866,350281738,10,18446744071585588815,2,18446744071585587914
6590,339334153,9,18446744071585234276,2,18446744071585234134
1869,510781446,6,18446744071585930897,2,18446744071585932135
2613,512458761,9,18446744071585234017,2,18446744071585235655
5918,324636682,10,18446744071585984612,2,18446744071585974776
3867,254950406,6,18446744071585852597,2,18446744071585554577
6980,158398473,9,18446744071585159759,2,18446744071585166916
2478,200928262,6,18446744071585153391,64,18446744071580404403
2567,119731206,6,18446744071585991996,2,18446744071585991979
10879,475145222,6,18446744071585653942,2,18446744071585653583
13680,212945930,10,18446744071586015907,2,18446744071586014908
13096,320575498,10,18446744071586017552,2,18446744071586017432
9876,430971910,6,18446744071582321116,2,18446744071586905468
2623,352559110,6,18446744071586017081,2,18446744071586004381
1796,85056518,6,18446744071586016749,2,18446744071586004344
13850,67133449,9,18446744071579364035,2,18446744071579362010
5530,253874185,9,18446744071586017399,2,18446744071589333584
348,469281798,6,18446744071585982395,2,18446744071579421184
14832,242793478,6,18446744071586050407,2,18446744071586062028
1537,35176454,6,140323408147342,2,140323376775965
5039,173571078,6,18446744071586041083,2,18446744071585134929
1869,150714374,6,18446744071585930930,2,18446744071585932135
5039,199336970,10,18446744071586041278,2,18446744071585134929
10270,207247366,6,18446744071580575171,2,18446744071579344300
14138,481376262,6,18446744071586030968,2,18446744071583818746
14759,485591050,10,18446744071586014320,2,18446744071586040699
7935,297377798,6,18446744071585139630,2,18446744071585983977
16262,267006982,6,18446744071579530243,2,18446744071586029684
11255,15443974,6,18446744071585929278,2,18446744071585930265
10701,476640262,6,18446744071580497689,2,18446744071580736091
576,146300934,6,18446744071585223031,2,18446744071585206814
9876,216088582,6,18446744071582320554,2,18446744071586905468
