ctxkey,pattern,histlen,pc,bw,bctx
9693,462056454,6,18446744071585949073,2,18446744071585132241
4502,113357830,6,18446744071579996219,2,18446744071586063008
1869,165889034,10,18446744071585930775,2,18446744071585932135
15642,65793038,14,18446744071580266428,2,18446744071580248830
4502,8100870,6,18446744071579996009,2,18446744071586063008
2613,33651726,14,18446744071585233942,2,18446744071585235655
3245,450591753,9,18446744071585235791,2,18446744071585940641
11094,532834320,16,140116302080460,2,140116297400288
5506,144498716,28,140116301090020,2,140116301089880
4293,267953161,9,18446744071586023671,2,18446744071579537607
13266,74660870,6,18446744071579556881,2,18446744071589333584
14956,364633098,10,140116300497638,2,140116302022384
2240,121682954,10,18446744071586035307,2,18446744071586035078
16015,243919874,2,140115930891565,2,140115929206955
713,236683273,9,18446744071578954192,2,18446744071587234207
16301,45103113,9,140116308217595,2,140116303766609
12613,45766662,6,140115927748215,2,140116308218345
667,426311689,9,18446744071578954254,2,18446744071587234253
1840,144081938,18,140115929186416,2,140115800344494
11050,375233562,26,140116302092724,2,140116302094172
12493,231400458,10,18446744071585244812,2,18446744071585240305
15625,290692106,10,18446744071579334775,2,18446744071578954631
3812,325106694,6,18446744071585222838,2,18446744071583818822
6980,444771338,10,18446744071585159784,2,18446744071585166916
6648,240856070,6,18446744071586031123,2,18446744071585947832
4966,7990282,10,18446744071580407156,2,18446744071580407098
839,395854854,6,18446744071585150225,2,18446744071586034091
4634,455775238,6,18446744071585976060,2,18446744071585974396
4357,208901126,6,140115930559889,2,140115930560669
2601,159757327,15,140116308664755,2,140116300123967
598,52594698,10,18446744071586034563,2,18446744071585167154
7556,531127305,9,18446744071582314741,2,18446744071585975676
9505,472631302,6,18446744071580403281,2,18446744071580405193
10954,225119238,6,18446744071586039790,2,18446744071586027594
5210,225596422,6,18446744071586039675,2,18446744071586027818
340,453612553,9,18446744071585234658,2,18446744071585233144
7641,360910858,10,18446744071585991086,2,18446744071579421145
7641,264352778,10,18446744071585991432,2,18446744071579421145
3812,380634118,6,18446744071585222950,2,18446744071583818822
14089,505113606,6,18446744071585991731,2,18446744071585915849
6939,436275210,10,18446744071586034708,2,18446744071585150115
14050,77325314,2,140115929425287,2,140115929073358
1336,229126146,2,140115932864027,2,140115928970238
9189,151570438,6,140115931874287,2,140115932996675
1336,521212937,9,140115932864326,2,140115928970238
38,80294918,6,18446744071586006586,2,18446744071586004510
14956,155202592,32,140116300497638,2,140116302022384
11448,122292238,14,18446744071585854490,2,18446744071585930226
12155,115527690,10,140115933221851,2,140115929426327
15128,405380106,10,18446744071579373494,2,18446744071579370060
9189,535369734,6,140115931872248,2,140115932996675
5088,475824142,14,140116300123982,2,140116300123956
1336,27375622,6,140115932864326,2,140115928970238
6541,11631626,10,18446744071586904184,2,18446744071579380213
6073,213105670,6,18446744071585948373,2,18446744071579994597
2921,431129602,2,140115932574452,2,140115928761719
13468,455739402,10,18446744071580753318,2,18446744071586916290
12952,372518926,14,140115932953197,2,140115800344494
2431,336330773,21,140116302037353,2,140116302087327
7447,271597584,16,140116305102515,2,140116306629867
11674,467835918,14,18446744071580264080,2,18446744071580264054
4115,339807247,15,140116308695317,2,140116308664971
15672,214875150,14,18446744071580229882,2,18446744071586905468
2081,15349772,12,18446744071587239038,2,18446744071579420611
50,507086854,6,18446744071579221125,2,18446744071583818938
14609,517200902,6,18446744071585931957,2,18446744071585554577
15672,513671181,13,18446744071580229876,2,18446744071586905468
15672,259981328,16,18446744071580229814,2,18446744071586905468
15988,76142602,10,18446744071585142090,2,18446744071585429888
9028,497249289,9,18446744071585233046,2,18446744071585206964
11476,213873681,17,140116300823266,64,140116300824059
7502,431649798,6,140116308217608,2,140116297400160
14919,365236242,18,140116302104287,2,140116302083165
4155,95971341,13,18446744071586033713,2,18446744071586034657
4065,208681994,10,140115930850874,2,140115931686791
11960,44704774,6,140115930125338,2,140115928955006
13969,197670936,24,18446744071579536898,2,18446744071579556899
7104,223954976,32,140116300823293,64,140116300824059
4712,114618381,13,140116306264810,2,140116297400368
7591,67209222,6,140115929944168,2,140115930280835
7850,453752841,9,18446744071586029016,2,18446744071585167340
12639,509751302,6,18446744071585929199,2,18446744071585239573
6980,180418570,10,18446744071585159759,2,18446744071585166916
12170,365978633,9,140116306583870,2,140116297400160
12693,130429976,24,140116300689299,2,140116300689267
9358,535524361,9,18446744071585220704,2,18446744071585220412
6243,151531530,10,18446744071586052466,2,18446744071585962323
1142,108557329,17,140116302037407,2,140116302037394
10529,219279366,6,18446744071585429774,2,18446744071585235323
11704,400137222,6,18446744071585930172,2,18446744071585930660
2932,452073481,9,140115932523255,2,140115929539920
11448,11697158,6,18446744071587241568,2,18446744071587241548
11670,199461899,11,140116308233868,2,140116305250134
14089,36810758,6,18446744071585991703,2,18446744071585915849
9711,322614283,11,140116305250239,2,140116305250153
11515,47252489,9,18446744071579168481,2,18446744071586904329
4357,394900490,10,140115930560011,2,140115930560669
3762,339495954,18,140116302037418,2,140116302088076
11050,12212246,22,140116302092724,2,140116302094172
7447,3784720,16,140116305102524,2,140116306629867
7708,274887689,9,140116302634600,2,140116300888104
908,83531782,6,140116302633638,2,140116305244972
6635,15424522,10,18446744071585974897,2,18446744071585992247
2640,526441482,10,18446744071586063278,2,18446744071586024004
1336,96090118,6,140115932864027,2,140115928970238
12712,321978374,6,140115933215605,2,140115800344494
740,210381830,6,18446744071585451140,64,18446744071589333600
1847,170292239,15,140116307472190,2,140116306595945
3718,159008774,6,140116306627347,2,140116306627084
3878,321100806,6,140116306627216,2,140116306643832
12952,388360207,15,140115932953276,2,140115800344494
9189,367044620,12,140115931874402,2,140115932996675
1274,242848780,12,140115929949620,2,140115929650108
15921,183080974,14,140115930891876,2,140115932696599
4304,113993737,9,140116303068465,2,140116303068064
4304,360963078,6,140116303068186,2,140116303068064
697,228255750,6,18446744071586006116,2,18446744071586004477
4910,489194502,6,18446744071579368540,2,18446744071579369834
6750,103915522,2,140116307475750,2,140116306592930
7556,148052998,6,18446744071582314552,2,18446744071585975676
10861,102331402,10,140115929409447,2,140115932522211
6301,405914630,6,18446744071585235446,2,18446744071585220833
12630,483923980,12,140116302037407,2,140116302085710
772,111806478,14,18446744071585948122,2,18446744071589333584
1085,152747014,6,18446744071579336830,2,18446744071579421103
1146,322658310,6,140116302633638,2,140116305261124
762,399690758,6,18446744071585132249,2,18446744071585949062
5871,50511881,9,140116305260045,2,140116305250315
14448,374295570,18,18446744071579380097,2,18446744071579368600
14448,127992848,16,18446744071579380097,2,18446744071579368600
4159,481557523,19,140116302069988,2,140116302070409
3521,65617929,9,140116305270488,2,140116305259373
12771,284698630,6,18446744071585962372,2,18446744071586050415
2565,502288390,6,140116300929894,2,140116303068629
2479,188276742,6,140116303067360,2,140116308624747
11526,109258762,10,140116300929475,2,140116306367934
14919,189049872,16,140116302104287,2,140116302083165
12693,475405336,24,140116300689321,2,140116300689267
4304,191198221,13,140116303068335,2,140116303068064
10914,219356173,13,140116306367764,2,140116301716456
8767,139551750,6,140115929652166,2,140115931184511
11637,126939145,9,140116305253153,2,140116305250229
563,180384774,6,140115930313175,2,140115932563189
562,236120070,6,18446744071583818840,2,18446744071589333584
1032,203991046,6,18446744071580403219,2,18446744071580402570
15116,318830598,6,18446744071579126570,2,18446744071578953996
1070,26955785,9,140116305065203,2,140116305260062
6515,307428362,10,18446744071587234234,2,18446744071586904781
942,122051610,26,140116307471161,64,140116324009214
9939,140715014,6,18446744071579354880,2,18446744071579327713
607,382468110,14,140116302037353,2,140116302087327
2802,316117005,13,18446744071579338848,2,18446744071586915742
12123,344578059,11,140115928288793,2,140116297527619
853,453580806,6,140116301729799,2,140116300589429
11863,66612234,10,140115932522032,2,140115929272241
1013,325651462,6,18446744071579221256,2,18446744071579421095
13298,201383945,9,18446744071586878736,2,18446744071580246230
3681,414954505,9,18446744071579097387,2,18446744071579097761
147,327841798,6,140115930857769,2,140115932522211
3147,54608906,10,140115930858497,2,140115929668615
4400,233816100,36,18446744071580332172,2,18446744071580332204
13266,295777286,6,18446744071579587364,2,18446744071589333584
6533,396008462,14,140115933604975,2,140115933624083
6536,423843849,9,18446744071586904984,64,18446744071579335020
2916,201480203,11,140116302033209,2,140116300495188
14433,15878163,19,140116300591844,2,140116302683741
12693,371864596,20,140116300689299,2,140116300689267
607,150179866,26,140116302085978,2,140116302087327
14070,449032201,9,140116303067529,2,140116301719768
11940,299540490,10,18446744071586878998,2,18446744071579556916
4891,431758364,28,140116302092876,2,140116302092859
15750,58882054,6,18446744071579342017,2,18446744071579342010
14459,8739860,20,140116305259198,2,140116302634717
12253,333054989,13,140116314107009,2,18446744071578860419
4065,165696521,9,140115930850356,2,140115931686791
5683,423447578,26,140116300823293,64,140116300824118
5231,194141194,10,140116305244911,2,140116300902829
2048,310958090,10,140116307722698,2,140116300888144
11779,6377478,6,140116303068877,2,140116302633759
12253,19530770,18,140116314107009,2,18446744071578860419
7774,207679499,11,18446744071579421320,2,18446744071586916276
2287,318801931,11,140116302681314,2,140116303067119
7258,178878476,12,140116300144178,2,140116300133404
14025,137947151,15,140116305260594,2,140116302932725
302,162214924,12,140116306626728,2,140116306266322
10057,228200454,6,140116308181124,2,140116307508099
11526,240266249,9,140116300929467,2,140116306367934
7265,378575878,6,140116300364877,2,140116307508099
12693,293151762,18,140116307116543,2,140116300689267
7960,335606790,6,140115800054353,2,140115800344494
1824,55174158,14,140116302633880,2,140116303068386
1677,183101449,9,18446744072100418373,2,18446744071579743317
11442,267761678,14,140116300929812,2,140116301716456
4159,280454172,28,140116302070133,2,140116302070409
15720,52803598,14,140115932864075,2,140115800344494
3762,220819477,21,140116302085683,2,140116302088076
14138,377217034,10,18446744071586030909,2,18446744071583818746
15750,399141898,10,18446744071579342017,2,18446744071579342010
5066,419259407,15,140116313982386,2,140116301851696
15276,282745872,16,140116302683635,2,140116308161104
4400,112778268,28,18446744071580332172,2,18446744071580332204
14919,485189647,15,140116302083267,2,140116302083165
1047,412050451,19,140116306635975,2,140116307121007
7447,293858310,6,140116305102497,2,140116306629867
4184,332105738,10,140115930248646,2,140115932887286
3762,197805073,17,140116302086127,2,140116302088076
4184,241813510,6,140115930248646,2,140115932887286
3762,526930957,13,140116302037418,2,140116302088076
12222,181592070,6,18446744071586904536,2,18446744071579368102
9590,13760523,11,140116298781955,2,140116300589458
4159,373207066,26,140116302069988,2,140116302070409
14050,380757008,16,140115929425249,2,140115929073358
14050,85804045,13,140115929425249,2,140115929073358
6566,512998410,10,18446744071579340910,2,18446744071578989902
5797,78785542,6,18446744071579371097,2,18446744071579360557
11334,253991945,9,18446744071579339013,2,18446744071579354842
3895,158027786,10,140116300133186,2,140116300133159
2431,334030865,17,140116302056821,2,140116302087327
6913,204554249,9,140116302085978,2,140116302092803
9981,95009820,28,140116302080509,64,140116302081031
942,531464216,24,140116307471200,64,140116324009214
14919,231320596,20,140116302104292,2,140116302083165
7711,175136778,10,18446744071585118232,2,18446744071586915887
13298,387561485,13,18446744071586878736,2,18446744071580246230
4159,518896662,22,140116302070133,2,140116302070409
9981,65052708,36,140116302080585,64,140116302081031
6272,468796422,6,140116300888306,2,140116300888016
12669,47454232,24,140116307521318,2,140116307521323
803,372290566,6,140116306991229,2,140116306991619
6765,200550428,28,140116306951264,2,140116302683515
8370,386678801,17,140116301855306,2,140116313966590
10264,455746569,9,140116300812243,2,140116300822644
13832,471893001,9,18446744071580403163,2,18446744071586905468
10657,345695238,6,18446744071579497962,2,18446744071579504867
3179,247708681,9,18446744071579504768,2,18446744071579357839
10300,391310345,9,18446744071578998627,2,18446744071578998810
11728,338704393,9,18446744071579497962,2,18446744071579493542
8523,50562054,6,140116306620419,2,140116306620675
15128,198181894,6,18446744071579373503,2,18446744071579370060
9436,376965129,9,18446744071579357595,2,18446744071579091676
5506,323852312,24,140116301090020,2,140116301089880
12222,458906634,10,18446744071586904454,2,18446744071579368102
4650,238546968,24,140116306595961,2,140116300821062
8992,190461954,2,140115931271864,2,140115800053174
4090,126272534,22,140116307472190,2,140116306596162
15118,286295051,11,140116302889740,2,140116307136830
5506,242339866,26,140116301090020,2,140116301089880
12411,251215886,14,140115929438124,2,140115930007911
8767,204559366,6,140115929652184,2,140115931184511
14191,254838810,26,140116299294660,64,140116299294897
15964,412183578,26,140116306103387,2,140116297569706
12401,53075974,6,18446744071579521945,2,18446744071579521853
8370,124356617,9,140116301855306,2,140116313966590
4813,96080906,10,140115933284835,64,18446744071587234077
8316,169013254,6,18446744071580257555,2,18446744071580083264
5797,295367697,17,18446744071579370965,2,18446744071579360557
568,12976152,24,140116307130230,2,140116307110124
7418,368879632,16,18446744071586904035,2,18446744071578990196
3764,241243160,24,140115929362481,2,140115929362142
3637,37831689,9,18446744071579504521,2,18446744071579357573
11085,202979342,14,140115930859077,2,140115930859235
6489,407428102,6,18446744071585223083,2,18446744071585142097
11209,353464332,12,140115929682188,2,140115929694783
2287,27456524,12,140116302681314,2,140116303067119
4650,211982,14,140116306595961,2,140116300821062
12807,430108686,14,140115933215937,64,140115931365471
1936,276557838,14,18446744071578859894,2,18446744072100418384
5442,157905935,15,140116313966540,2,140116313966590
16109,71046160,16,140116302023887,2,140116302040101
607,380164128,32,140116302085978,2,140116302087327
11224,96520202,10,140116302933065,2,140116306155320
